Percentage of Write(%),Block Size(KiB),IOPS(k),Bandwidth Read/Write(MiB/s),Latency min (usec),Latency max (usec),Latency avg (usec),Bandwidth avg (KiB/s),CPU usr(%),CPU sys(%),IO Depth
100,	4,  	17.2,	67.2,	46,	193143,	921.60,	68702.36,	1.03,	7.21,	16
100,	16,	    17.1,	267,	44,	10057,	934.84,	272247.79,	1.89,	7.85,	16
100,	32,	    15.0,	470,	67,	13457,	1064.02,481854.36,	1.20,	9.64,	16
100,	128,	7.123,	890,	120,13041,	2245.26,915574.15,	1.24,	10.33,	16
50,	    4,	    17.3,	67.7,	56,	12106,	922.24,	69515.69,	1.67,	6.96,	16
50,	    16,	    16.5,	258,	85,	14323,	969.24,	264003.28,	1.42,	8.50,	16
50,	    32,	    14.4,	451,	47,	20000,	1108.08,461900.56,	1.59,	9.26,	16
50,	    128,	7.463,	933,	121,9970,	2142.41,955963.08,	1.50,	10.69,	16
30,	    4,	    18.5,	72.1,	51,	15704,	866.30,	73803.28,	1.34,	8.00,	16
30,	    16,	    17.1,	267,	54,	18619,	935.96,	273599.18,	1.54,	8.55,	16
30,	    32,	    15.1,	471,	68,	10253,	1060.93,483260.72,	1.97,	9.32,	16
30,	    128,	5.697,	712,	72,	815279,	2649.41,74129.23,	1.93,	9.72,	16
0,	    4,	    18.5,	72.4,	58,	14108,	863.25,	158843.52,	1.84,	7.27,	16
0,	    16,	    17.7,	277,	56,	13739,	902.80,	284198.56,	1.13,	8.96,	16
0,	    32,	    15.3,	478,	171,52675,	1045.46,489193.03,	1.26,	9.69,	16
0,	    128,	7.265,	908,	135,20146,	2200.9,	932050.05,	1.61,	10.19,	16
100,	4,  	18.7,	73.2,   581,16811,	1706.77,74944.21,	1.50,	7.43,	32
100,	16, 	16.6,	260,	59,	12927,	1924.91,265614.77,	1.10,	8.49,	32
100,	32, 	14.4,	451,	65,	23236,	2214.82,461064.21,	1.74,	9.27,	32
100,	128, 	6.153,	769,	199,27792,	5197.46,789364.59,	1.58,	9.19,	32
50,	    4,  	18.3,	71.7,	51,	13273,	1743.53,73349.13,	1.42,	7.32,	32
50,	    16, 	17.5,	274,	59,	15826,	1824.65,280808.21,	1.55,	8.62,	32
50,	    32, 	15.1,	471,	62,	22094,	2120.57,483324.72,	1.27,	9.99,	32
50,	    128, 	6.967	871,	146,17213,	4589.35,892297.85,	1.69,	10.04,	32
30,	    4,  	16.5,	64.3,	34,	187904,	1941.82,64948.41,	1.24,	6.82,	32
30,	    16, 	17.7,	276,	51,	11766,	1811.40,283097.44,	1.55,	9.03,	32
30,	    32, 	15.7,	490,	59,	21633,	2039.22,502580.51,	1.67,	9.59,	32
30,	    128,	6.686	836,	138,27701,	4783.0,855151.59,	1.74,	9.75,	32
0,	    4,  	20.0,	78.1,	50,	19637,	1599.02,80090.46,	1.61,	7.63,	32
0,	    16, 	16.9,	264,	52,	19367,	1889.50,270675.69,	1.66,	8.38,	32
0,	    32, 	15.6,	488,	58,	15807,	2046.43,500114.05,	1.35,	10.11,	32
0,	    128, 	6.914,	864,	162,16979,	4625.46,886396.72,	1.64,	10.28,	32
